,target,source,number_people,weight
295,Akaro,Garboolow village ,5,0.3125
296,Akaro,Qaydar suuboow village in rural ,6,1.0
297,Akaro,Qoondhood village ,7,1.0
298,Akaro,Qurac dameer village ,9,0.28125
299,Akaro,Shatilow village ,15,0.8333333333333334
300,Akaro,Tula barwaqo village ,8,0.5714285714285714
301,Al Aamin,Bardale ,6,0.06818181818181818
302,Al Aamin IDP,Buusaar,28,0.052336448598130844
303,Al Aamin IDP,Luuq ganaane,18,0.2903225806451613
304,Al Aamin IDP,Raaxoole,50,0.05530973451327434
305,Al Amin,Calka boholay,12,1.0
306,Al Amin,Canoyaskax,18,1.0
307,Al Amin,Cergaabo,6,0.3333333333333333
308,Al Amin,Shabeele,12,1.0
309,Al Halim,Manaas,19,0.2261904761904762
310,Al Ikraan,Sabiib,40,0.024242424242424242
311,Al Ikraan,Shalambood,37,0.42045454545454547
312,Al Ixsan,Barwaaqo,15,0.1271186440677966
313,Al Kharas,Awdheegle,43,0.011927877947295423
314,Al Kheyr,Jambalul,6,0.024291497975708502
315,Al Nacim,Janaale,22,0.01566951566951567
316,Al Nasiib,Awdheegle,30,0.008321775312066574
317,Al Nasiib,Basro,30,0.05328596802841918
318,Al Nasiib,Farxane,30,0.625
319,Al Nasri,Awdheegle,34,0.00943134535367545
320,Al Nasri,Buley Xarabo,31,0.4696969696969697
321,Al Nasri,Janale,35,0.0457516339869281
322,Al Nasri,Wadajir,18,0.0972972972972973
323,Al Nuur,Awdheegle,24,0.00665742024965326
324,Al Nuur,Biriweyne,19,1.0
325,Al Nuur2,Awdheegle,26,0.007212205270457697
326,Al Qafar,Dag wariri,32,1.0
327,Al Qahar,Mursal,34,1.0
328,Al Qaras,Awdiin,4,1.0
329,Al Qaras,Biyooley,3,0.014634146341463415
330,Al Qaras,Kurmaan,6,0.009787928221859706
331,Al Qaras,Misir,9,0.014308426073131956
332,Al Qaras,Saakow,3,0.003937007874015748
333,Al Qaras,Shibeelow,2,0.02197802197802198
334,Al Qaras,Tugeerhoos,6,0.046153846153846156
335,Al Qaras,Ufurow,4,0.0021551724137931034
