arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Alla tuug,32,8,10,14,True,Flood,Lebiga
Harqan IDP,2,0,1,1,True,Conflict,Warjinay
Meesaare,40,15,15,10,True,Conflict,Janaale
Samkaab,20,3,6,11,True,Conflict,Jambaluul and Gaalawar
War Gaduuda,18,6,5,7,True,Drought,Bakaley
Abaq,13,3,3,7,True,Conflict,Buala
Raqeyle,37,17,10,10,True,Conflict,Janaale
Abal-1,4,1,1,2,True,Drought,Misgaale
Habaal Adey,30,3,7,20,True,Conflict,babaylow
Bula Kulow,42,10,15,17,True,Conflict,safar noolaay
Weel Galool,6,2,2,2,True,Drought,Moolamad 
Hoogar I Maandow,5,2,2,1,True,Drought,War hinshilu
Suuqo Xoolaha,34,6,10,18,True,Drought,Caag And Weyla-wad
Bada Cas,22,5,7,10,True,Flood,Lebiga
Moori Gowaan,4,2,1,1,True,Conflict,Shibeelow
Farawiley,2,0,2,0,True,Drought,Farawiley village
Najax,4,0,1,3,True,Drought,Bacaad 
Wadajir,60,20,20,20,True,Drought,Qadiija xaaji 
Iidaan,15,5,5,5,True,Drought,Bohol 
Cawaale,10,2,2,6,True,Conflict,Alkothar
Biile 1,5,1,2,2,True,Drought,Yaata
Widey Rahman-1,5,2,1,2,True,Drought,Moolamad 
Alla Tuug,8,2,2,4,True,Conflict,Qoryoley 
Jiiro Altowba,10,2,3,5,True,Conflict,Alkothar
Low Mogii,3,1,1,1,True,Drought,Low mogii village
Farak,6,1,1,4,True,Drought,Gomore village.
Bisigle,4,1,2,1,True,Drought,Bisigle village
Aden cade camp,12,3,3,6,True,Conflict,Alkawsar 
Buur Edoy,3,1,1,1,True,Drought,Shibeelow
Buur Fuule 1,5,2,2,1,True,Drought,Awdinle
Burkulan,41,11,10,20,True,Conflict,Balbaley
Shiilow,5,1,2,2,True,Drought,Cel cali
Bulsho,7,1,2,4,True,Drought,buq aqable
Farey,20,4,6,10,True,Conflict,Janaale
Waafi 2,26,3,7,16,True,Conflict,Buula sheikh
Yowkoyow,6,1,2,3,True,Drought,Jilibow village.
Bula Sheikh,20,5,5,10,True,Conflict,Bila sheikh
Sedax Godobay,4,1,1,2,True,Drought,Khansaxdheere 
Lafoole IDP,7,2,1,4,True,Other,Libi awaleey village in rural 
Buurdhuuba,3,1,1,1,True,Conflict,Shatilow village 
Nasiib,3,1,1,1,True,Drought,Ethiopia
Waberi,15,5,5,5,True,Drought,Handhar 
Barre Dheere,18,3,6,9,True,Conflict,Dalsan
Macruuf IDP,12,3,4,5,True,Drought,Ethiopia
Ruees,2,1,1,0,True,Drought,Ruees village
Gedisoy,5,1,2,2,True,Eviction,Gedisoy village
Rakaale,4,1,1,2,True,Drought,Rakaale village 
Sedax Buurow,4,2,1,1,True,Drought,Rabdhuure
Anfac,22,4,6,12,True,Conflict,Masaajid cali gaduud
Sabaaxal Nuur,35,7,13,15,True,Conflict,Bibe Ma'ere
Gelinsoor,10,2,3,5,True,Conflict,Adan Yabaal
Ifo Bay-1,5,1,2,2,True,Drought,Awdinle
Emedkoorey,3,1,2,0,True,Drought,Elgaras village.
Al-aamin,48,18,15,15,True,Drought,Yusuf jexaay 
Gubad Galoole,9,2,3,4,True,Drought,Doonfuul village.
Bakal,2,0,1,1,True,Drought,Bakal
Muse Haji,6,1,1,4,True,Conflict,Qudus 
Mogi Maalag,5,1,1,3,True,Drought,Mogimalaag village 
Imaam Aamin,10,2,2,6,True,Conflict,Balcad 
Wardhujiiley,2,1,1,0,True,Drought,Wardhujiiley
Akaro,3,1,1,1,True,Other,Dhukeey village 
Jaqafaabir,21,5,7,9,True,Other,Bilcil howrarsame 
Carabo,70,20,25,25,True,Drought,Yusuf jexaay 
Ayaan,11,2,3,6,True,Drought,Ethiopia
Daryeel,38,10,13,15,True,Conflict,Buula Garas
Taleeh Village,6,1,1,4,True,Conflict,Caracase
Qansax Oomane,72,12,30,30,True,Drought,Funujo 
Abaq Dheere,4,1,2,1,True,Drought,Danbal aaran
Duduma Kale,2,1,1,0,True,Drought,Jiidow
Wardeer,5,2,2,1,True,Eviction,Waryroy
Weel Gaduud,5,1,2,2,True,Drought,Well dhaan
Adc-2 Towfiiq,8,2,2,4,True,Drought,Korinbood
Bulla Reydab,3,1,1,1,True,Drought,Awdinle
Danwadaag,2,0,1,1,True,Other,Unk
Alla-Amin2,9,2,3,4,True,Drought,Ethiopia
Bodan,4,1,1,2,True,Drought,Bodan village 
Nasrudin,45,10,15,20,True,Conflict,Farxano
Qaboobe,12,2,2,8,True,Drought,Jiiqle
Beer Dhinbil 2,6,2,2,2,True,Drought,Dalandole-2
Kaam wil wil,3,1,1,1,True,Conflict,Buur Hakaba
Madawarabe,5,1,2,2,True,Drought,Diinsoor 
Qurac damer,12,3,4,5,True,Drought,Diif
Abag-Deerey,7,0,2,5,True,Drought,Abag-Deerey
Darusalaam-1,7,2,3,2,True,Drought,Moolmad
Waaberi,5,1,1,3,True,Drought,Bohol 
New Alla Aamin,31,7,10,14,True,Flood,Lebiga
Ban Dhuub,4,1,1,2,True,Drought,Geg Gomor
Musquley,4,1,1,2,True,Drought,Gariley
Cawys Dheere,6,1,1,4,True,Conflict,Qaycad
Bulo Omaan,5,1,1,3,True,Drought,Weel garas
Banaaney,60,20,20,20,True,Drought,Baqtiiley 
Waaberi IDP,12,2,3,7,True,Drought,Ceelmaere
Alkhayraat,6,1,1,4,True,Conflict,Geedbuur
Haji Abdulahi,39,10,15,14,True,Conflict,babaylow
Buulo Biyooley,6,2,2,2,True,Conflict,Buur eyle 
Keyniga,1,0,1,0,True,Drought,Keyniga
Daryeel,12,2,2,8,True,Drought,Xingod
Wegeli,4,1,2,1,True,Drought,Shibeelow
Warshiidle,2,1,1,0,True,Drought,Warshiidle village
Adable Weyne,4,1,2,1,True,Drought,Tuwer hoos
Ato,3,0,2,1,True,Drought,Ato village
Tulo-jibriil,82,12,50,20,True,Drought,Bursagar 
Beladul Amin 2,4,1,2,1,True,Drought,Hawaal.barbari
Mubarak,4,1,1,2,True,Drought,Cel dheer
Goomir,6,2,2,2,True,Drought,Koranrrogi
Bakaley,2,1,1,0,True,Drought,Bakaley
Banhadile,5,1,1,3,True,Other,Maganeey village 
Shugaay,7,2,2,3,True,Conflict,Gurbaan
Madaxwarabe,5,1,1,3,True,Drought,Kulanjareer village.
Golay,4,1,2,1,True,Drought,Buulo Garabay
Fartaag,24,8,11,5,True,Conflict,Janaale
Al Amin,12,2,2,8,True,Conflict,Calka boholay
Kulmiye IDP,2,2,0,0,True,Other,Cusbo village in rural 
Dhill,4,2,1,1,True,Drought,Dhiil village 
Yaman,4,1,1,2,True,Conflict,Buulo Barake
Indho Deeq,27,4,6,17,True,Conflict,Haduuman
Waab Doore,6,2,2,2,True,Eviction,Dudumali
Tawakal,10,2,4,4,True,Drought,Abbey
Garmadow IDP,4,0,1,3,True,Conflict,Dhanawe
Doyale,7,1,2,4,True,Drought,macaan qaale
Kibirow,3,1,1,1,True,Drought,Tugeerhoos
Makoon,5,1,2,2,True,Drought,Esow
Sabir,28,5,9,14,True,Conflict,Bariire
Elbay-2,6,2,2,2,True,Drought,Buula barako 
Gasile,1,1,0,0,True,Drought,Gasile
Axsan Camp,27,9,11,7,True,Conflict,Bariire
Wadajir Takoy,5,1,2,2,True,Drought,Shibeelow
Asal,5,1,2,2,True,Drought,Ethiopia
Elbay-3,4,1,1,2,True,Drought,Abaalbarbari
Kidhikooy,3,1,1,1,True,Eviction,Wel kobon
Arooswiini,6,2,2,2,True,Drought,Khansaxdheere 
Camp saakow,11,4,4,3,True,Conflict,Jilib
Liiban,27,4,8,15,True,Conflict,Buulosheikh
Mayqoonsiti,5,2,2,1,True,Conflict,Goorinane-1
Garsoor,4,1,2,1,True,Drought,Kerow Yusuf
Dinsor,22,6,9,7,True,Conflict,Uffurow
Aanoley,4,1,1,2,True,Drought,Adabli Weyne
Busley,8,2,3,3,True,Drought,Busley
Hotel shire,10,2,3,5,True,Drought,Ethiopia
War Garasle,4,1,1,2,True,Drought,Buur helade
Bilcil Barako IDP,1,0,1,0,True,Other,Karantil VILLAGE 
Hamdi,27,6,8,13,True,Conflict,Bariire
Tuni Camp,42,11,15,16,True,Drought,Kismaayo
Imilow,2,1,1,0,True,Drought,Imilow village
Maykarabey,4,0,2,2,True,Other,Caracasa village 
Isnai,17,4,6,7,True,Flood,Primo Zendo 
Ceel Dheere,5,1,2,2,True,Drought,Moolamad 
Wardujiiley,4,1,1,2,True,Conflict,Ceel berde
Baas Ma'Arke,3,1,1,1,True,Conflict,Jiir
Tawakal Gurbaan,2,1,1,0,True,Drought,Misra
Buulo Bari,49,9,15,25,True,Conflict,Abooreey
Garasweyne,6,1,3,2,True,Drought,Garasweyne village
Dhabad,32,10,12,10,True,Drought,Caracase 
Nasteh,7,2,2,3,True,Conflict,Alkothar
Bodaan-2,5,1,1,3,True,Conflict,Daynuunay 
Bodaan-1,3,1,1,1,True,Conflict,Moolamad 
Mariino,4,1,1,2,True,Conflict,Kamsuma 
Waafi1,20,3,5,12,True,Conflict,Farxaane
Qulay,4,1,1,2,True,Drought,Uffurow
Morgaabey,4,1,1,2,True,Drought,Morgaabey Village
Barwaaqo,7,1,1,5,True,Drought,Xudoboor 
Korkoor IDP,6,1,3,2,True,Drought,Korkoor village
Unlawe / Aw Adoon,6,2,2,2,True,Conflict,Cadale
Fataah,17,5,7,5,True,Conflict,Buulo Marrer
Makuudi,4,1,1,2,True,Drought,Kurman
Dugule,5,1,2,2,True,Drought,Gurbaan
Buuloneebsin,3,1,1,1,True,Conflict,Gurbaan
Horgooy,3,1,1,1,True,Drought,Horgooy
Mahadaay,44,11,13,20,True,Flood,Shaam and 7jaziira 
Rajo2,3,1,1,1,True,Drought,Ethiopia
Mala Layle,3,1,1,1,True,Drought,Diinsoor 
Gadudow,24,4,7,13,True,Conflict,Buulosheikh
Dhanfarur,3,1,1,1,True,Drought,Goofgaduud 
Bakal Eedeng,5,1,1,3,True,Drought,Buurdhuxunle
Hilal Camp,19,4,5,10,True,Conflict,Barakow
Badbaado,10,2,4,4,True,Drought,Buulo-Mundul
Hanaano1,2,0,1,1,True,Drought,Liimay 
Doy Gaabey,5,1,2,2,True,Drought,Shibeelow
Bulo Sheq,6,2,2,2,True,Drought,Salagle 
Orogley,1,1,0,0,True,Drought,Orogley
Daryeel Bulsho,23,7,9,7,True,Conflict,Janaale
Ciidweyne,32,10,12,10,True,Drought,Baqtiiley 
Aamanow,4,2,1,1,True,Conflict,Bootis
Fanoole,5,1,2,2,True,Drought,Moolamad 
Waab Garaad,4,1,2,1,True,Drought,Wabgarad village 
Oori,3,1,1,1,True,Drought,Uforow
Buulo Ismail,3,1,1,1,True,Drought,Misra
Duugsoy,3,1,1,1,True,Drought,Edaain
Buulo Gumar- 1,5,2,2,1,True,Drought,Buula Fulay
Camp Hawina,10,2,3,5,True,Conflict,Waraq
Mushka,6,2,2,2,True,Drought,Weeyl Daage
Bula Gaduud,5,2,2,1,True,Drought,Buula idaraan 
Xero koowaad,3,0,1,2,True,Drought,Kilidhanan
Lowforaar,6,2,2,2,True,Drought,Buulo Bilaan
Bakal Gaduud,3,1,1,1,True,Drought,Waajid
Sahan Camp,21,6,8,7,True,Conflict,Marerey
Banow,4,1,1,2,True,Drought,Barbaare 
Rajo,4,1,1,2,True,Conflict,Balcad
Hillaac,12,2,2,8,True,Conflict,Yurkud 
Hagarka Mada Gari,4,1,1,2,True,Drought,Dharqih
Makuudi 1,7,2,2,3,True,Drought,Saakow
Hol-Ade,7,2,2,3,True,Drought,Reerwaaqle village.
Qaatumo,10,1,3,6,True,Drought,Ethiopia
Bunay,5,1,2,2,True,Drought,Misra
Bula Garas,3,1,1,1,True,Drought,Idaale-1
Warsamaale,5,1,2,2,True,Drought,Saakow 
Towfiiq,3,0,1,2,True,Drought,Garasweyne village
Others,4,1,3,0,True,Drought,Shiidalow village
Tawakal,12,2,3,7,True,Drought,Ethiopia
Dudumaale,5,2,2,1,True,Drought,Misra
Isgooy,2,1,1,0,True,Drought,Isgooy village
Awsiine,3,1,1,1,True,Drought,Biyooley
Mamo Timirey,40,10,13,17,True,Conflict,Janale
Hanano 2,4,1,1,2,True,Drought,Goof Gaduud Buuray
Kurman Waberi,22,2,7,13,True,Conflict,caanoole
Camp kheire,5,1,2,2,True,Flood,Wanleweyn
Weel Koban,3,1,1,1,True,Drought,Buur Eyli 
Camp Naji,5,1,1,3,True,Conflict,Moofi 
Kulan,13,2,5,6,True,Conflict,shanqalow
Buula Fulay,4,1,1,2,True,Drought,Xudur 
Hamdi,5,1,2,2,True,Flood,Jowhar
Waney,37,9,12,16,True,Conflict,Sabib canole
Buur Madow,4,1,1,2,True,Drought,Buur Esow
Abag-Tag,4,1,1,2,True,Drought,Abag jibeed
Bulsho,5,1,1,3,True,Drought,Baadikeen
Adad-Gerey,6,1,1,4,True,Drought,Mubashar
Dhayal,5,2,2,1,True,Drought,Buulo Gomor 
Daryeel,5,1,2,2,True,Drought,Diinsoor
Jiidow Bakool,4,1,1,2,True,Drought,Biyooley
Asal,6,1,2,3,True,Drought,Ethiopia
Busley,2,0,2,0,True,Drought,Busley village
Kishaadi,1,0,1,0,True,Drought,Kishaadi village
Tawakal Sigalow,4,1,1,2,True,Drought,Cel ware
Hanana 1,5,1,2,2,True,Drought,Berdale 
Tabarak,5,1,2,2,True,Drought,Awdinle
Bali cad,3,0,1,2,True,Flood,Jowhar
Kuusow,20,2,7,11,True,Conflict,Gaalawar and sagaalad 
Hubbey,7,2,3,2,True,Drought,Hubbey
Haji,3,1,1,1,True,Flood,Qoryooley
Xasaan,5,1,2,2,True,Flood,Wanleweyn
Fatxul Iimaan,36,10,12,14,True,Conflict,Barire
Qadiid,7,1,4,2,True,Drought,Qadiid village
Jafaay,24,9,9,6,True,Drought,Ufurow
Kidhikooy,9,3,3,3,True,Drought,Buulo Hareer
Baal koray,40,10,13,17,True,Conflict,Sabiib
Golool Onle1,1,0,1,0,True,Drought,Welkoban
Morgaabey,1,0,1,0,True,Drought,Morgaabey Village
War Gaduuda,12,3,4,5,True,Drought,Ban-Yal
Ban Dhuub,4,1,1,2,True,Drought,Cilaan
Keyniga,3,1,1,1,True,Drought,Keyniga
Dudumaale,6,2,2,2,True,Drought,Tuweer hoos 
Goof Gaduud Buuray,4,1,1,2,True,Drought,Ceel bashir
Kaxda Nabada,7,2,3,2,True,Conflict,Welmaro
Dheriyow,5,1,2,2,True,Drought,Bisig Edi
Sarman Dheer,4,1,1,2,True,Conflict,Deynuuny
Yowkoyow,4,2,1,1,True,Drought,Dhariiqada village.
Ruees,3,1,1,1,True,Drought,Ruees village
Tawakal2,3,1,1,1,True,Drought,Mokeylo
Buulo gaduud,14,4,3,7,True,Eviction,Kulan jareer 
Gedisoy,11,2,4,5,True,Drought,Gedisoy
Banbusul,4,1,2,1,True,Drought,Moolmad
Bansoofe,3,1,1,1,True,Conflict,Dalandole-2
Habaal Adey,27,2,7,18,True,Conflict,buslay
Bula Kulow,27,7,3,17,True,Conflict,dhagaajo
Mora Fuur,4,1,2,1,True,Drought,Weel koban
Doyale,15,4,4,7,True,Drought,buq gosaar
Waraaboole,10,2,3,5,True,Conflict,Adan Yabaal
Aadtkiyaal,6,1,1,4,True,Drought,Sarmaan village.
Golay,4,1,2,1,True,Drought,Shibeelow
Yaqashid,11,2,2,7,True,Drought,Kurman
Aw-Raame,5,1,1,3,True,Drought,Deg galool
Kadiijo,2,0,1,1,True,Drought,Dayax 
War Harqaan,5,2,1,2,True,Conflict,Oflow
Burkuus,4,2,1,1,True,Drought,Buulo Daar
Tawakal,12,3,5,4,True,Conflict,Uffurow
Raxole Camp,30,11,10,9,True,Drought,Shoodaa
Arlaadi IDP camp,4,2,1,1,True,Drought,Waney
Galayrada,4,1,2,1,True,Conflict,Masagirow 
Shimbirow,2,1,1,0,True,Drought,Shimbirow village
Agoonkoris,31,11,10,10,True,Conflict,Janaale
Beladul Amin 2,8,2,3,3,True,Drought,Beer Shibeele
Banhadile,4,1,1,2,True,Other,Karantil VILLAGE 
Howlwadag2,16,3,3,10,True,Drought,Mubashar
Garaska Shabada,12,3,4,5,True,Drought,Ban-Yal
Garas Mintan,4,1,1,2,True,Drought,Gurbaan
Banaaney,72,12,30,30,True,Drought,Qadiija xaaji 
Carabo,27,7,10,10,True,Drought,Yusuf jexaay 
Wabiyow IDP,3,1,1,1,True,Drought,Daarow
Buur Midowe,6,2,2,2,True,Drought,Buula fulay
Garsoor,5,1,2,2,True,Drought,Yurkud
Galoola,5,1,2,2,True,Drought,Jilibow village.
Celasha,7,2,2,3,True,Drought,Kaxareey
Madina,2,1,0,1,True,Drought,Yurkud 
Waberi2,24,9,8,7,True,Drought,Qotqot
Kooneey,31,11,10,10,True,Conflict,Balbaley
Salama 1,18,3,5,10,True,Flood,Garsoor
Qasaley,18,6,5,7,True,Drought,Shonqolow
Wadajir-4,4,1,1,2,True,Drought,Uffurow
Toratorow,3,1,1,1,True,Drought,Buur eyle 
Buundo 3,16,3,4,9,True,Conflict,Xawaadley
Dabolow 1,3,1,1,1,True,Drought,Qod Qode
Lafo Barkato,12,2,4,6,True,Drought,Dood-hays
Warshiidle,1,0,1,0,True,Drought,Warshiidle village
Haduuman,24,7,9,8,True,Conflict,Sabiib
Kormari,3,1,1,1,True,Drought,Diinsoor 
Bas Maleh,7,2,2,3,True,Drought,Qansaxdheere
Deeq Alle,5,1,2,2,True,Drought,Abal
Lanta Somtel,8,2,2,4,True,Drought,Ethiopia
Lehelow,4,2,1,1,True,Drought,Lehelow village 
Doora Weera,6,1,4,1,True,Drought,Moolmaat village
Wadajir,5,1,1,3,True,Drought,Ethiopia
Hanaano1,4,1,2,1,True,Drought,Buule iidow
Nolasha Caano,45,10,15,20,True,Conflict,Garas Jelet
Garasley,34,11,10,13,True,Conflict,xanyaalay
Nasiib Door,6,2,2,2,True,Drought,Berdale 
Mukubow,8,2,3,3,True,Conflict,Mukubow village
Beer Dhinbil 3,3,1,1,1,True,Drought,Shibeelow
Buule Fuur,5,2,2,1,True,Conflict,Sigli 
Salaam 2,12,2,2,8,True,Flood,Israc
Dooy,20,4,6,10,True,Conflict,Xawaadley
Garmadow IDP,3,0,1,2,True,Drought,Guba
Jilab 5,6,0,2,4,True,Drought,Dacare
Garsaaley,5,2,2,1,True,Drought,Garsaaley
Waareeyle,4,1,1,2,True,Drought,Bulaxubey
Qodqodow,17,3,5,9,True,Conflict,Xawaadley
Elberde,2,0,1,1,True,Drought,Elberde village 
Fadhigaale,5,1,2,2,True,Drought,Fadhigale village 
Farawiley,2,0,1,1,True,Drought,Farawiley village
Mora Hagar,8,2,3,3,True,Drought,Xoogir village.
Dhagaxley,10,2,2,6,True,Drought,Lahelow 
Caashaqow,30,5,10,15,True,Conflict,Babaas
Ifo Bay-2,6,2,2,2,True,Drought,Berdale 
Garasweyne,4,0,2,2,True,Drought,Garasweyne village
Bula Gaduud,3,1,1,1,True,Drought,Dhejiile
Ceyne,45,10,15,20,True,Conflict,Awdhigle
Mushka,6,2,2,2,True,Drought,Edaain
Elgaras,6,2,2,2,True,Drought,Shibeelow
Mubarak,10,2,3,5,True,Drought,Mokeylo
Lowguule,35,10,15,10,True,Drought,Bisig edi
Buulo Goof,6,2,2,2,True,Drought,Tuwer hoos 
Garas Tuurane,5,2,1,2,True,Drought,Barbaare
Jilab 3,6,1,2,3,True,Drought,Awr culus
Guudal,6,1,2,3,True,Drought,Daamud village.
Baano,4,1,1,2,True,Drought,Seenilow village.
Yaaq Braawe,4,1,1,2,True,Drought,Ex-Kontorol Afgooye
Alla Aamin1,10,2,3,5,True,Drought,kabxanleey
Kulimye IDP Centre,51,12,15,24,True,Conflict,aaminay
Baqaley Riibe,5,1,2,2,True,Drought,Xudur 
Kaysineey,5,1,2,2,True,Drought,Biyooley
Wereg,12,3,5,4,True,Drought,Kurman
Ya-Fatah,7,3,2,2,True,Drought,Morgaabey
Xaafito,10,2,1,7,True,Drought,Dolow
Burdacar,5,1,2,2,True,Flood,Kurtunwaarey
Al-aamin,70,20,25,25,True,Drought,Gadondhawe 
Dhinaawe,3,1,1,1,True,Drought,Saakow
Buurow,4,1,1,2,True,Drought,Berdale
Marko,6,1,2,3,True,Drought,Qoryooley
Beylood,25,5,5,15,True,Conflict,Sabib
Orogley,2,0,1,1,True,Drought,Orogley
Albaraka,26,2,8,16,True,Conflict,warsaamale
Mubarak,1,0,1,0,True,Drought,Eleemow
Babyow,4,1,2,1,True,Drought,Gomore village.
Kulmiye IDP,7,1,2,4,True,Conflict,Muduloow village in rural 
Shiniile,5,1,1,3,True,Drought,Salbaay
Laamoole,35,7,13,15,True,Conflict,Janale
Yaman,3,1,1,1,True,Drought,Diinsoor 
Mustaxil / Mustixil,3,1,1,1,True,Conflict,October
Sacabaweyne,2,0,1,1,True,Other,Muqdiaho
Dugsiilo-2,5,1,2,2,True,Drought,Rabdhuure 
Weel Tugar,6,1,2,3,True,Drought,Weel duure
Weeyl Daage,5,1,1,3,True,Drought,Deebay
Kibirow,6,1,1,4,True,Drought,Uffurow
Halabay,5,1,2,2,True,Drought,Maanyow
Sirmaqabe,24,6,10,8,True,Conflict,Awdhegle
Bulo Omaan,8,2,2,4,True,Drought,Weel garas
Badar,5,1,1,3,True,Drought,Ethiopia
Basiireey,6,1,2,3,True,Conflict,Bariire 
Gurmeysi,5,2,2,1,True,Drought,Tuweer hoos
Dhill,3,1,1,1,True,Drought,Dhiil village 
Muryaale,23,7,10,6,True,Flood,Yaaqle 
Hayan,8,1,1,6,True,Drought,Docol
Ayaan,8,1,2,5,True,Drought,Xudoboor 
Koonfur Bari,4,1,2,1,True,Drought,Doygaab village
Celgodow,3,1,1,1,True,Drought,Celgodow village
Eji,35,15,10,10,True,Conflict,Abdi ali
Abaq Haluul,6,1,1,4,True,Drought,Gal Gal Onlay
Danwadaag,10,2,3,5,True,Conflict,Caanole 
Warsamaale,3,1,1,1,True,Drought,Buula cadey 
Makoon,6,2,2,2,True,Drought,Makoon 
Fanoole,4,1,1,2,True,Drought,Uffurow
Nafta Biyo,35,7,13,15,True,Conflict,Janale
Hamiin Guurya,3,1,1,1,True,Drought,Buulo Ees
Hareera Boor,2,0,1,1,True,Drought,Kurmaan
Barabaraay,10,2,3,5,True,Drought,Ethiopia
Weelwaanre,7,1,2,4,True,Drought,Tugaarey 
Dahaale,4,1,2,1,True,Drought,Biyooley
Dogob,4,0,1,3,True,Drought,Lagadiima 
Buulo-Fuur,5,1,2,2,True,Drought,Bulo Omaan
Yaasmin,7,0,3,4,True,Drought,Qoryooley
Weel Golool,18,6,5,7,True,Drought,Kurtun
Bakal Eedeng,6,2,2,2,True,Drought,Doolow
Tufka,12,3,4,5,True,Drought,Ufurow
Mala Layle,3,1,1,1,True,Drought,Buula fulay 
Tawakal-Nuriyo,8,1,1,6,True,Drought,Tixeey
Maalimey,12,2,4,6,True,Conflict,Sabiib iyo caanole 
Rajo2,4,0,1,3,True,Drought,Celka baar
Doon Dherow,3,1,1,1,True,Drought,Buulo Barake
Rakaale,6,2,1,3,True,Drought,Rakaale village 
Wegeli,7,2,2,3,True,Drought,Weel koban
Aaran camp,4,1,1,2,True,Conflict,October
Dayax Siigaalow,5,1,1,3,True,Drought,Ethiopia
Aliyow mad araale,8,2,2,4,True,Drought,Sarta
Arooswiini,5,1,2,2,True,Drought,Khansaxdheere
Gal Gal Weyn 2,4,1,2,1,True,Drought,Deynuuney 
Badbaado,8,2,4,2,True,Conflict,Jidow
Abal 3,3,1,1,1,True,Drought,Gaduuf dhuunte
Kalow,4,1,2,1,True,Drought,Abaalbarbari
Qalimow,36,7,12,17,True,Conflict,Xawaadleey
Kurtun,12,3,4,5,True,Drought,Baraawe
Shugaay,10,2,3,5,True,Conflict,Hareeri Jiroon
Ras-Cade,18,5,4,9,True,Drought,Bakaley
Dhurshenshibele,3,1,1,1,True,Drought,Dhurshenshabele village 
Shiidile,5,1,1,3,True,Drought,Shiidile
Howlaha Guud Berdaale,4,1,1,2,True,Drought,Awdinle
Emedkoorey,7,3,1,3,True,Drought,Luwaay wiine village.
Abroone,26,4,6,16,True,Conflict,Gaalawar
Mogi Maalag,3,1,1,1,True,Drought,Mogimalaag village 
Jilab 4,6,2,2,2,True,Drought,caano yaskax
Istareh,12,2,4,6,True,Conflict,Bariire
Waab Garaad,6,2,2,2,True,Drought,Wabgarad village 
Tugaar-Hoosle,12,3,4,5,True,Drought,Ufurow
Sagam,3,1,1,1,True,Drought,Jawaarey
Quracle,3,1,1,1,True,Drought,Deynuunay
Duugsoy,4,1,2,1,True,Conflict,Hawaal bar baari
Buulo Gumar- 1,4,1,2,1,True,Drought,Yurkud
Yasooman,10,2,3,5,True,Conflict,Sabiib iyo caanole
Bakal Gaduud,4,1,1,2,True,Drought,Waajid 
Weersan,10,2,3,5,True,Conflict,Sabiib iyo caanole 
Qaatumo,5,1,1,3,True,Drought,Ethiopia
Harar Gafow,10,2,3,5,True,Conflict,Adan Yabaal
Tiirka idps,5,0,2,3,True,Eviction,Ceel abaq
Banreera,7,2,2,3,True,Drought,Gurbaan
Ya Iyow Koyow,5,1,2,2,True,Drought,Gelgel
Dhur Iyo Qalin,3,1,1,1,True,Drought,Shibeelow
Hawal Been,18,6,5,7,True,Drought,Ufurow
Dirir,5,0,2,3,True,Drought,Sablaale
Madooda,3,1,1,1,True,Drought,Madooda village
Logu Bogay,2,1,1,0,True,Drought,Logu Bogay
Iil Gudow,3,1,1,1,True,Drought,Shibeelow
Villa Kooshin,9,2,3,4,True,Drought,Ethiopia
Bilan 2,7,1,1,5,True,Drought,Buundoweyn 
Habriir,1,0,1,0,True,Drought,Ligalay village
Buulo Gudud,4,1,1,2,True,Drought,Buulo Towsi
Hibow,7,1,1,5,True,Drought,Hibow
Buur Bakaar,5,1,2,2,True,Drought,Berdale 
Yeed,4,1,2,1,True,Drought,Yeed village 
Shafici,38,6,14,18,True,Conflict,Basro
Kutimbo,9,1,3,5,True,Drought,Waab weyn
Donfeylahow IDP,4,1,2,1,True,Drought,Donfeylahow village 
Leeb Edi,5,1,1,3,True,Drought,Tugaar hoos
Elbay-2,7,2,2,3,True,Drought,Gurbaan
Farlibax,3,1,1,1,True,Conflict,October
Rasmi,16,3,5,8,True,Drought,Ethiopia
Abesale,3,1,1,1,True,Conflict,October
Qurac jomo,4,1,1,2,True,Conflict,October
Biyooley 1,4,1,1,2,True,Drought,Diinsoor 
Nasiye,10,2,3,5,True,Conflict,Adan Yabaal
Nasib Wanag 2,5,1,1,3,True,Drought,Kurman
Buur Abor,12,2,5,5,True,Drought,Ethiopia
Xarardheere,2,0,1,1,True,Eviction,Adan Yabaal
Taleeh Village,5,1,1,3,True,Conflict,Gubada
Handooliyow Eyli,6,2,2,2,True,Drought,Buur eyle 
Bilisaa,8,1,3,4,True,Conflict,Welmaro
Wabi-Shabele,13,2,5,6,True,Drought,"Cali ganeey , Miircade "
Doy Gaabey,3,1,1,1,True,Drought,Buur helade
Buulo Abag,7,2,2,3,True,Drought,Weegal jarool
Bulo Sheq,5,1,2,2,True,Drought,Saakow 
Farak,4,1,1,2,True,Drought,Qaydar baaye village.
Bisigle,3,0,1,2,True,Drought,Bisigle village
Low Mogii,1,0,1,0,True,Drought,Low mogii village
Faarax-Gololey,31,9,14,8,True,Flood,Jameeco misra
Uurtaalo,4,1,1,2,True,Conflict,October
Buuloneebsin,5,2,1,2,True,Conflict,Daynuunay 
Makuudi,7,2,2,3,True,Drought,Dhufaad
Akaro,6,1,2,3,True,Conflict,Buur bakaaro village 
Dugule,3,1,1,1,True,Drought,Gurbaan
Garasyool,3,1,1,1,True,Conflict,October
