arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Xaanshooley,24,6,7,11,True,Flood,Lebiga
Buulo Abag,4,1,1,2,True,Drought,Bunbeegay
Waareeyle,7,2,1,4,True,Drought,Gariley 
Ban-Yal,4,1,1,2,True,Drought,Mubaarak
Wargarsle Moosh,6,2,2,2,True,Drought,Horgaafin
Marko,12,2,4,6,True,Drought,Qoryooley
Shamiindo,38,10,12,16,True,Conflict,Garasdheere and garasmadowe
Madhato,5,2,2,1,True,Drought,Daynuunay 
Garsaaley,3,1,1,1,True,Drought,Garsaaley
Raxole Camp,24,9,8,7,True,Drought,Kismaayo
Farjano,38,8,15,15,True,Drought,Baqtiiley 
Liibaan Rage,45,15,15,15,True,Drought,Irida 
Ras-Cade,24,9,6,9,True,Drought,Tugaar hosle
Maxaa Deex,20,6,9,5,True,Flood,Raqeyloow
Farsamada,75,10,25,40,True,Conflict,"Moqokori, Ceel-Hareeri and Tardo"
Harbiyow,4,2,1,1,True,Conflict,October
Buulo Gudud,6,1,1,4,True,Drought,Heerersin
Camp Jiroole (dhobley),7,1,3,3,True,Conflict,Jilib
11-Janaay-2,3,1,1,1,True,Drought,Goorinane-1
Dhuuma Dhuumaay,4,1,1,2,True,Drought,Ceelcalen 
Daabadey,15,3,5,7,True,Conflict,Barire
Mindhig IDP,4,2,1,1,True,Drought,Liimay
Yab Yab,2,1,1,0,True,Drought,Yab Yab Village
Doon Edi,5,1,1,3,True,Drought,Doon-edi village 
Musaley,23,4,7,12,True,Conflict,Buulo madiina
Tiirka idps,7,1,1,5,True,Eviction,Tirka village 
Gareeri Yarey,4,1,1,2,True,Drought,Biyooley
Buulo Ciir,4,1,1,2,True,Drought,Uffurow
Baarsaare,5,1,2,2,True,Drought,Doolow
Buur Heybe,2,1,1,0,True,Drought,Buur eyli
Kafaaya,12,2,4,6,True,Conflict,Aadan yabaale 
Kishaadi,1,0,1,0,True,Drought,Kishaadi village
Qod-Qod,6,1,2,3,True,Drought,Dahaale
Danbaley,5,1,2,2,True,Drought,Buur helade
Warjinay,2,1,1,0,True,Drought,Shibeelow
Busta,4,1,1,2,True,Drought,Buula barako
Yaq Barawe,10,2,2,6,True,Conflict,Mukedheere
Bariirow,4,1,1,2,True,Drought,Bariirow village 
Harkufeey,5,2,2,1,True,Drought,Shibeelow
Bandhuub,4,1,1,2,True,Conflict,Diinsoor
Gulled / Gulleed,4,2,1,1,True,Conflict,October
Wargalole,3,1,1,1,True,Drought,Wargalole Village
Galeer,28,5,8,15,True,Conflict,Masajid cali gaduud
Bursijis,10,2,2,6,True,Conflict,Jameeco
Balanbale IDP,1,0,1,0,True,Drought,Balanbale Village
Liibaan-1,5,2,2,1,True,Drought,Dudumali
Al Nasri,34,7,12,15,True,Conflict,Awdhiigle
Dondardiir,3,0,2,1,True,Drought,Dondardiir village
Kaam ilaal,3,0,2,1,True,Drought,Jowhar
Himilo,10,2,3,5,True,Conflict,Adan Yabaal
Yarabi,6,2,2,2,True,Conflict,Uffurow
Mu'Waafaq,4,1,1,2,True,Drought,Khansaxdheere
Hareeri-Jiroon,4,1,1,2,True,Drought,Gowraar
Guudal,4,1,2,1,True,Drought,Dubugaas village.
Galoola,7,2,3,2,True,Drought,Korkoor village.
Marayla1,4,1,2,1,True,Conflict,Daynuunay 
Idin Alle,7,2,2,3,True,Conflict,Qasaxdheere 
Yaa Rasaq,33,7,10,16,True,Conflict,Abdi Ali
MOGOR IDP,15,5,5,5,True,Drought,Mogorka
Gardiile 1,4,1,1,2,True,Drought,Misra
Raage Iidle,8,1,2,5,True,Drought,Leboow 
Shiidile,2,1,1,0,True,Drought,Shiidile
Dirir,3,0,2,1,True,Drought,Kurtunwerey
Badbaado,3,1,1,1,True,Drought,Abag-Beday
Ramadaan 1,5,1,2,2,True,Drought,Uffurow
War Harqaan,6,1,2,3,True,Conflict,Sabiib iyo caanole 
Ramadaan 2,3,1,1,1,True,Drought,Molmad
Shabele,14,2,4,8,True,Drought,Ethiopia
Ideedkuri,1,1,0,0,True,Drought,Ideedkuri
Tagal,3,1,1,1,True,Conflict,Buur eyle
Warshira,5,1,1,3,True,Drought,Warshira
Baano,7,1,3,3,True,Drought,Gooriyey village.
Eyla (Lafole),19,4,4,11,True,Conflict,Jambaluul and Gaalawar
Baabsalaami,8,2,2,4,True,Drought,Bane
Horseed,48,15,12,21,True,Drought,Yaaq Braawe
Isha Beydhabo,25,3,8,14,True,Conflict,Caanoole
Taangi,8,2,3,3,True,Conflict,Balcad 
Darki,16,3,5,8,True,Conflict,Dafeet
Bulsho,6,1,1,4,True,Conflict,Mashaqo 
Guurdaan,31,11,10,10,True,Conflict,Abdi ali
Sabiib,24,4,9,11,True,Conflict,Sabiib
Cambar Binu Camar,26,5,6,15,True,Conflict,Masaajid cali gaduud
Buulo Duuf,3,1,1,1,True,Drought,Gurbaan
Binti,10,2,3,5,True,Conflict,Bariire 
Barwaqo,3,1,1,1,True,Other,Ethiopia
Kurtun,18,6,5,7,True,Drought,Baraawe
Dusti,3,1,1,1,True,Conflict,Diinsoor 
Tawakal Adc,4,2,1,1,True,Drought,Moolamad 
Daryeel B Yaquub,7,1,1,5,True,Drought,"Gasle, Samatare"
Masiirka,4,1,1,2,True,Drought,Buuli Ees
Ceel Cedow,4,1,2,1,True,Drought,Ceel Cedow village
Jilelow Camp,8,2,2,4,True,Drought,Duuray
Biyaso,29,6,9,14,True,Flood,primo zento 
Faynus,35,15,10,10,True,Conflict,Abdi ali
Mushaani,19,3,5,11,True,Conflict,Canole
Waaberi,22,4,7,11,True,Conflict,Sabiib
Sigaalow Qayr Qabe,5,1,1,3,True,Drought,Ethiopia
Geedbarbar,2,0,1,1,True,Drought,Geedbarbar
Towfiq,3,1,1,1,True,Drought,Baqaley
Jilaal Moog,10,2,3,5,True,Conflict,"Bariire, sabiib iyo caanole "
Habriir,4,1,3,0,True,Drought,Habriir village
Marerdher,21,5,6,10,True,Conflict,Erile
Kaskey,22,7,3,12,True,Conflict,wahelow
Biyo-Fadhi,4,1,2,1,True,Drought,Gudi village.
Tuugsoy,5,2,1,2,True,Drought,Safarnoolay
Torotoorow,9,2,3,4,True,Conflict,Makori
Doora Weera,4,1,3,0,True,Drought,Moolmaat village
Warlowe,7,2,3,2,True,Conflict,Warjinay
Ufurow,3,1,1,1,True,Drought,Uffurow
Ceelbashiir,5,1,2,2,True,Conflict,Maqoori
Mayqoonsity IDPs,10,7,3,0,True,Drought,Xorseed
Towsiili,2,0,1,1,True,Drought,Towsiili
Walaq-1,6,2,2,2,True,Drought,Abag-Beday
Jeelow,4,1,2,1,True,Drought,Goof mareer
Lehelow,3,1,1,1,True,Drought,Lehelow village 
Duluunte,4,1,1,2,True,Drought,Buush madiino 
Jowhar Soomaali,33,9,10,14,True,Flood,Kulmis weyne
Badacas one,38,9,12,17,True,Flood,xaansholey and Dheygawan
Yacquub,20,5,10,5,True,Conflict,Awdigle and sigale
Lafo Barkato,6,2,2,2,True,Drought,Salaxey
Iskiri,5,2,2,1,True,Drought,Iskiri
Galol Cadi,4,1,1,2,True,Drought,Salagle 
Siinaay,10,2,3,5,True,Conflict,Adan Yabaal
Buulo Barake,5,1,2,2,True,Drought,Goof Gaduud Buuray
Adable Gunre,3,1,1,1,True,Drought,Warjinay
Jiliyale,31,5,11,15,True,Flood,Bayaxaaw and Primo 
Malkaay,5,1,2,2,True,Drought,Qansaxdheere
Tanad,3,0,2,1,True,Drought,Sablaale
Eel Ahmed,12,2,4,6,True,Conflict,Sabiib 
Nahariis,6,1,2,3,True,Conflict,Caanole 
Hilaac 1,4,1,1,2,True,Drought,Mayow
Rojo,5,1,2,2,True,Drought,Saakow
Alla Aamin1,10,2,3,5,True,Drought,Ethiopia
Wadajir,98,18,30,50,True,Conflict,Tardo and Afcad
Babyow,8,3,1,4,True,Drought,Waney village.
El Fiin,2,1,1,0,True,Drought,El Fiin
Reeboy,6,2,2,2,True,Conflict,Cadale 
Baarqooley camp,20,3,5,12,True,Conflict,Balad amin
Qadiid,5,1,3,1,True,Drought,Qadiid village
Madaraan Degeen,6,2,2,2,True,Drought,War Harqaan
Biyo Cagaar,45,15,15,15,True,Conflict,Abdi ali
Danow,39,19,10,10,True,Conflict,Gawurow
Badar,10,2,3,5,True,Drought,caag sibiri
Hibow,3,1,1,1,True,Drought,Hibow
Bak Abeeso,63,8,20,35,True,Conflict,Tardo and Xalfooley
Buulo Jadiid,4,1,1,2,True,Drought,Buula garas
Galgows,36,16,10,10,True,Conflict,Janaale
Loojar Wiine,5,1,2,2,True,Drought,Doolow
Macaney,6,2,2,2,True,Drought,Berdale 
Kalkaal,9,0,2,7,True,Drought,Ethiopia
Biitale,20,3,5,12,True,Conflict,Gobaale
Barawe 2,6,1,2,3,True,Conflict,Magambo 
Aadtkiyaal,4,1,1,2,True,Drought,Xoogir village.
Hinshi Roole,5,1,2,2,True,Drought,Waajid
Qansax dheere,3,0,1,2,True,Other,Afmadoobe village 
Wadajir,2,1,1,0,True,Other,Luuq
Arwaax,28,5,9,14,True,Conflict,Awdheegle
Soorante,7,2,2,3,True,Drought,Soorante
Galey,3,1,1,1,True,Conflict,Migwa 
Banjinay,4,2,2,0,True,Drought,Dhaaysin
Mushka,18,6,5,7,True,Drought,Misra
Hareeri Boor,4,1,1,2,True,Drought,Boorama 
Horseed,42,12,15,15,True,Drought,Cagwalaf 
Hirwad Nafada,12,3,3,6,True,Conflict,Moqoori
Elberde,3,0,1,2,True,Drought,Elberde village 
Gololka IDP,3,1,1,1,True,Drought,Dhoobata
Bil Nuur,30,5,15,10,True,Conflict,Bariweyne
Madooda,4,1,2,1,True,Drought,Madooda village
Jiracle,32,10,12,10,True,Drought,Bursagar 
Najax,52,12,20,20,True,Drought,Nusdariiq 
Logu Bogay,3,1,1,1,True,Drought,Logu Bogay
Baariyow,20,3,6,11,True,Conflict,Canole
Afgooye,5,1,2,2,True,Drought,Afgoye village 
Hanano 3,5,1,2,2,True,Drought,Dhargubey
Wanay IDP,3,1,1,1,True,Drought,Wanay
Alindi,34,14,10,10,True,Conflict,Balbaley
Hariimi diisor,6,2,2,2,True,Drought,Makoon
