focal,neighbour,road_connected,src_vx,tgt_vx,src_distance,tgt_distance,in_distance,road_distance
22,23,1.0,430586,4398773,925.3397968179868,795.5493934606991,103107.79799999997,104828.68719027865
22,24,1.0,430586,341842,925.3397968179868,2074.642396670043,79125.45800000001,82125.44019348804
22,31,1.0,430586,5534851,925.3397968179868,106.49652823703757,167070.03800000023,168101.87432505525
22,32,1.0,430586,3981701,925.3397968179868,85.27151010935611,182012.0100000002,183022.62130692755
22,45,1.0,430586,4903418,925.3397968179868,1706.6220008328082,118853.96500000024,121485.92679765105
23,22,1.0,4398773,430586,795.5493934606991,925.3397968179868,103107.798,104828.68719027868
23,32,1.0,4398773,3981701,795.5493934606991,85.27151010935611,199074.29000000015,199955.11090357022
24,20,1.0,341842,413782,2074.642396670043,104.23998374337027,87709.949,89888.83138041341
24,21,1.0,341842,506478,2074.642396670043,2318.680001524042,123780.36099999998,128173.68339819406
24,22,1.0,341842,430586,2074.642396670043,925.3397968179868,79125.45800000001,82125.44019348804
24,31,1.0,341842,5534851,2074.642396670043,106.49652823703757,189985.38999999996,192166.52892490703
24,43,1.0,341842,1261918,2074.642396670043,2565.0136994843124,341873.32099999837,346512.9770961527
25,27,1.0,9871449,4775152,1134.371133810693,2754.754530595831,85321.66600000001,89210.79166440654
25,29,1.0,9871449,6501979,1134.371133810693,2638.8166287876675,173538.37200000015,177311.5597625985
25,36,1.0,9871449,165306,1134.371133810693,1036.7658453910287,97639.12500000004,99810.26197920176
