,target,source,number_people,weight
4637,Haduuman,Sabiib,24,0.014545454545454545
4638,Haduuman,Shibeelow,16,0.0273972602739726
4639,Hafata,Buula fulay,4,0.0975609756097561
4640,Hafata,Diinsoor,6,0.006872852233676976
4641,Hafata,Idale,4,1.0
4642,Hafata,Misra,11,0.010223048327137546
4643,Hafata,Tugaar-Hoosle,6,0.021505376344086023
4644,Hafata,Usmail,4,0.06153846153846154
4645,Hafata -3,Abaalbarbari,3,0.03488372093023256
4646,Hafata -3,Bisik ade,8,1.0
4647,Hafata -3,Sarmaan,3,0.05357142857142857
4648,Hafata -3,Yaaq Braawe,7,0.020710059171597635
4649,Hafesse,Sabiib,29,0.017575757575757574
4650,Hagaag,Boos cudur,5,0.2777777777777778
4651,Hagaag,barwaqo,6,0.20689655172413793
4652,Hagaag,eelbaraf,10,1.0
4653,Hagar Daba Teeg,Buur eyli,23,0.3709677419354839
4654,Hagar Daba Teeg,Buur eylu,5,0.38461538461538464
4655,Hagar Daba Teeg,Dalandole-2,7,0.04046242774566474
4656,Hagar Daba Teeg,Deeb Wiine,8,0.6153846153846154
4657,Hagar Daba Teeg,Gurbaan,6,0.0037974683544303796
4658,Hagar Daba Teeg,Makabey eyli,2,1.0
4659,Hagar Daba Teeg,Toos wiini,6,0.6666666666666666
4660,Hagar Daba Teeg,Uffurow,5,0.004835589941972921
4661,Hagar Diid,Mukidhere,10,1.0
4662,Hagaray,Abal,3,0.014492753623188406
4663,Hagaray,Abaqdheer,4,1.0
4664,Hagaray,Buula cadey ,4,0.21052631578947367
4665,Hagaray,Hagaray,6,0.1
4666,Hagaray,Khansaxdheere,5,0.12195121951219512
4667,Hagaray,Maarey,11,0.14864864864864866
4668,Hagaray,Raama adey ,7,1.0
4669,Hagaray,Raama cadey,8,1.0
4670,Hagardiid,Bulamarer,40,1.0
4671,Hagardiid,Janale,40,0.05228758169934641
4672,Hagardiid,Owdhigle,20,1.0
4673,Hagarka Mada Gari,Abaalbarbari,4,0.046511627906976744
4674,Hagarka Mada Gari,Buur fuule,4,0.2857142857142857
4675,Hagarka Mada Gari,Dharqih,20,1.0
4676,Hagarka Mada Gari,Garsaaley,4,0.014925373134328358
4677,Hagarka Mada Gari,Oflow,5,0.05747126436781609
4678,Hagarka Mada Gari,Tugeerhoos,3,0.023076923076923078
4679,Hagarka Mada Gari,Uffurow,7,0.006769825918762089
4680,Haji,Barakaley,6,0.011627906976744186
4681,Haji,Ceel cade,2,0.4
4682,Haji,Jowhar,8,0.04597701149425287
4683,Haji,Jowhar ,5,0.07042253521126761
4684,Haji,Kurtunwaarey ,17,0.4594594594594595
4685,Haji,Qoryooley,12,0.038834951456310676
4686,Haji,Raadelka,2,0.2857142857142857
4687,Haji,Raadelka ,5,0.45454545454545453
4688,Haji,Wanleweyn,5,0.25
4689,Haji Abdulahi,Abaqle,33,1.0
4690,Haji Abdulahi,Baarka humandherow,12,1.0
4691,Haji Abdulahi,Buula aamow,69,1.0
4692,Haji Abdulahi,Buulo-Caday,34,0.12099644128113879
4693,Haji Abdulahi,Gargalis,30,1.0
4694,Haji Abdulahi,Liimoole,21,0.07553956834532374
4695,Haji Abdulahi,Misra,57,0.05297397769516728
4696,Haji Abdulahi,Shanqalow,46,0.18326693227091634
